row,record,x_localized,y_localized,x_bin,y_bin,impactor,frequency,thickness,expected_thickness,amplitude,noise_amplitude,noise_ratio,voltage_max,thickness_frequency_amplitude,p_wave_integral,transducers_clipped,transducers_amp_max,exp_decay,time_delay,contact_time,starting_frequency,ending_frequency,frequency_range,calculated_cpp,ie_defects,pre_impact_resonance_frequency,pre_impact_resonance_frequency_amplitude,frequencies,mean_amplitudes,impactor_mass,sensor_ids,noise,clipped,debond,thickness_diff,defect,ie_defect
1,0,288.0,62.50511932373047,288.0,62.0,1.0,4589.843750000001,15.686808510638294,12,17901220.413389605,20410.06465475695,0.5330338954532252,533349.609375,13.24212331255989,18069501.096376512,"[0, 0, 0]","[533349.609375, 272314.453125, 148645.01953124997]",0.05578248566050126,15.768,6.9e-05,1708.9843750000002,26123.046875000004,24414.062500000004,9179.687500000002,0,2099.6093750000005,3.0282117852589137,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.01273363e-31 4.03188421e-02 6.34651668e-02 ... 3.15356410e-05
 3.77843347e-05 3.79906637e-05]",8.5,"[0, 1, 2]",0,0,1,1,0,0
1,1,288.0,61.56813049316406,288.0,61.0,1.0,4589.843750000001,15.686808510638294,12,21650831.9885903,15114.847550839126,0.4907209165657651,678369.140625,6.890632190565128,15087877.204831256,"[0, 0, 0]","[678369.140625, 358117.67578125, 209472.65625]",0.0,15.552,6.4e-05,1367.1875000000002,32812.50000000001,31445.312500000007,9179.687500000002,0,97.65625000000001,2.111760128235222,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[4.66754445e-32 2.70135371e-02 4.27240789e-02 ... 3.12802753e-05
 4.60793216e-05 6.48754522e-05]",8.5,"[0, 1, 2]",0,0,1,1,0,0
1,2,288.0,60.838768005371094,288.0,60.0,1.0,5029.296875000001,14.316116504854367,12,12152487.015256597,16675.808216649475,0.6890467528638287,489440.91796875,5.3702253984599,12876450.686386663,"[0, 0, 0]","[489440.91796875, 368994.14062499994, 220349.12109374994]",0.09496537009075487,15.408000000000001,6.5e-05,1562.5000000000002,29150.390625000004,27587.890625000004,10058.593750000002,0,97.65625000000001,1.8567307584912656,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.60674384e-32 1.82872484e-02 2.87647787e-02 ... 1.36346454e-05
 1.43181808e-05 1.64360698e-05]",8.5,"[0, 1, 2]",0,0,1,1,0,0
1,3,288.0,59.724117279052734,288.0,59.0,1.0,5029.296875000001,14.316116504854367,12,26523259.8160092,21616.528582171242,0.560549077705484,676757.8125,13.619875751245717,18205581.035396498,"[0, 0, 0]","[676757.8125, 391955.56640624994, 164355.46874999994]",0.09906450964637414,15.408000000000001,6.5e-05,1367.1875000000002,32177.734375000004,30810.546875000004,10058.593750000002,0,97.65625000000001,3.154507514605533,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.17420578e-32 4.47209288e-02 6.94695043e-02 ... 1.45454380e-04
 1.35328974e-04 1.23093772e-04]",8.5,"[0, 1, 2]",0,0,1,1,0,0
1,4,288.0,58.76704788208008,288.0,58.0,1.0,4980.468750000001,14.456470588235291,12,11788482.79743207,18524.389728065908,0.6319654389263691,479772.94921874994,8.634633306376697,13066697.196706656,"[0, 0, 0]","[479772.94921874994, 273120.11718749994, 68078.61328124997]",0.09607826766471869,15.408000000000001,6.7e-05,1611.3281250000002,27880.859375000004,26269.531250000004,9960.937500000002,0,97.65625000000001,2.2722006550415736,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.00680255e-33 2.98114402e-02 4.66602979e-02 ... 4.55917662e-05
 3.94799714e-05 3.44824383e-05]",8.5,"[0, 1, 2]",0,0,1,1,0,0
1,5,288.0,57.6515998840332,288.0,57.0,1.0,5029.296875000001,14.316116504854367,12,14491922.175950784,15246.594134859524,0.5654801905777816,619555.6640625,6.592474007319203,13295108.77118601,"[0, 0, 0]","[619555.6640625, 291650.390625, 221154.78515624997]",0.059167979421150325,15.696000000000002,6.5e-05,1367.1875000000002,30859.375000000004,29492.187500000004,10058.593750000002,0,97.65625000000001,1.9338288250794502,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.16046676e-32 2.31444548e-02 3.74662213e-02 ... 5.48854192e-05
 6.54022453e-05 7.55146986e-05]",8.5,"[0, 1, 2]",0,0,1,1,0,0
1,6,288.0,56.60114669799805,288.0,56.0,1.0,5029.296875000001,14.316116504854367,12,10610302.00503657,17089.942854954195,0.6478785966371375,475341.796875,5.630473830366667,11304083.577847527,"[0, 0, 0]","[475341.796875, 219946.28906250003, 217126.46484374997]",0.08067293283889505,15.912,6.9e-05,1708.9843750000002,26416.015625000004,24707.031250000004,10058.593750000002,0,97.65625000000001,1.9677887985620879,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[5.66326433e-32 2.47346200e-02 3.92584110e-02 ... 2.66451822e-05
 2.42856716e-05 2.05499880e-05]",8.5,"[0, 1, 2]",0,0,1,1,0,0
1,7,288.0,55.780887603759766,288.0,55.0,1.0,5078.125000000001,14.178461538461537,12,22259239.075717453,16219.506159930066,0.4885596839419847,644934.0820312499,3.1820577514178567,14557704.607094321,"[0, 0, 0]","[644934.0820312499, 537780.76171875, 316625.9765625]",0.05330584258086779,15.84,6.2e-05,1806.6406250000002,32617.187500000004,30810.546875000004,10156.250000000002,0,1855.4687500000002,2.6236750963685074,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.01586029e-32 1.50984659e-02 2.39451977e-02 ... 8.80753152e-05
 8.20493608e-05 7.61011377e-05]",8.5,"[0, 1, 2]",0,0,1,1,0,0
1,8,288.0,54.82573318481445,288.0,54.0,1.0,10742.187500000002,6.7025454545454535,12,8192125.518586384,14842.803610506202,0.6601588513683724,429821.77734375,2.4020588373929064,9829783.05024961,"[0, 0, 0]","[429821.77734375, 326696.77734374994, 244116.21093750003]",0.0987480377545019,16.056,6.5e-05,1318.3593750000002,27832.031250000004,26513.671875000004,21484.375000000004,0,97.65625000000001,1.7087178679593926,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.85013577e-32 8.93409372e-03 1.42352848e-02 ... 6.18836772e-05
 5.43555211e-05 4.63753046e-05]",8.5,"[0, 1, 2]",0,0,1,0,0,0
1,9,288.0,53.66254806518555,288.0,53.0,1.0,10009.765625000002,7.192975609756096,12,8161530.937571042,19159.033996574955,0.928025591589851,342004.39453125,2.3053235435164177,10410448.234999653,"[0, 0, 0]","[342004.39453125, 169995.11718750006, 190942.38281249997]",0.06335053597877209,15.912,7.1e-05,878.9062500000001,26025.390625000004,25146.484375000004,20019.531250000004,0,1757.8125000000002,3.272347856129143,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.12755460e-32 7.57252592e-03 1.21234886e-02 ... 2.94181459e-07
 1.00958364e-08 3.02829776e-08]",8.5,"[0, 1, 2]",0,0,1,0,0,0
