row,record,x,y,frequency,thickness,expected_thickness,amplitude,noise_amplitude,noise_ratio,thickness_frequency_amplitude,p_wave_integral,y_loc,left_clipped,right_clipped,left_amp_max,right_amp_max,exp_decay,time_delay,contact_time,starting_frequency,ending_frequency,frequency_range,x_localized,y_localized,frequencies,mean_amplitudes,x_bin,y_bin
1,0,1,0,10595.703125000002,6.795207373271888,12.0,22542.545094054232,1532.8722963940313,0.08665722486320176,2.3224370535466967,107024.29290582448,-31.95712661743164,0,0,136157.22656249994,158312.98828124994,0.1962943751183348,17.784,8e-05,2197.2656250000005,16699.218750000004,14501.953125000004,60.0,-31.95712661743164,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.39369430e-32 1.65519611e-03 4.77692818e-03 ... 1.70127546e-05
 1.44534298e-05 1.46374655e-05]",,
1,1,1,1,3369.1406250000005,21.370434782608694,12.0,45690.90063641073,1970.3421824488723,0.09216365120164466,4.525873440545024,18685.39532282288,-31.334125518798828,0,0,131323.24218750003,57202.148437500044,0.0,17.64,9.1e-05,1806.6406250000002,13720.703125000002,11914.062500000002,60.0,-31.334125518798828,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.28424807e-31 4.66470976e-03 1.32375233e-02 ... 3.52388562e-05
 3.00104864e-05 3.17818022e-05]",,
1,2,1,2,3369.1406250000005,21.370434782608694,12.0,112603.93449519943,8684.517862914181,0.397397021409762,5.726312326527941,34435.20065984549,-30.49553680419922,0,0,151867.67578125006,162341.30859374994,0.0,17.784,8.8e-05,2294.9218750000005,12792.968750000002,10498.046875000002,60.0,-30.49553680419922,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.95960704e-36 1.40702263e-02 1.94581499e-02 ... 5.72494247e-06
 2.40183112e-06 6.45636486e-06]",,
1,3,1,3,3369.1406250000005,21.370434782608694,12.0,57625.25434190334,3001.167659192299,0.14040530518167402,6.5643475299192175,101587.73801254877,-29.44098663330078,0,0,134948.73046875,156298.82812499994,0.201819215154712,17.712000000000003,8.7e-05,1855.4687500000002,14062.500000000002,12207.031250000002,60.0,-29.44098663330078,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.15181347e-34 1.14426919e-02 2.99879826e-02 ... 3.37251447e-05
 1.99423762e-05 1.09628728e-05]",,
1,4,1,4,3417.9687500000005,21.065142857142853,12.0,72413.57696574747,5259.462689589513,0.21189715582170357,9.101667709272744,159566.84687095153,-28.380342483520508,0,0,187316.89453125,280371.0937499999,0.16976233468047439,17.856,8.2e-05,2636.7187500000005,12841.796875000002,10205.078125000002,60.0,-28.380342483520508,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.07912511e-31 3.05107654e-02 5.98953681e-02 ... 2.04420341e-05
 1.19338858e-05 8.19633297e-06]",,
1,5,1,5,3466.7968750000005,20.76845070422535,12.0,70979.09904238724,4938.850731499413,0.2222910779131336,9.708562212414531,129280.03671192379,-27.494701385498047,0,0,146228.02734374994,132531.73828124997,0.0,18.216,8.9e-05,2539.0625000000005,8398.437500000002,5859.375000000002,60.0,-27.494701385498047,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[9.57091672e-32 7.80721144e-03 1.52392768e-02 ... 8.51309018e-06
 6.88949303e-06 9.94045913e-06]",,
1,6,1,6,3515.6250000000005,20.479999999999997,12.0,73710.39158508896,1788.593403222482,0.0719457616274041,10.828323371810976,50200.66520632959,-26.42775535583496,0,0,147436.52343750003,109570.31250000004,0.17433349432437917,18.432000000000002,8.7e-05,1855.4687500000002,13964.843750000002,12109.375000000002,60.0,-26.42775535583496,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[8.64186703e-32 9.57814278e-03 2.26818621e-02 ... 1.05818630e-05
 8.88222440e-06 1.00539550e-05]",,
1,7,1,7,3515.6250000000005,20.479999999999997,12.0,87775.6379717486,1539.003081105282,0.058833566127340184,12.964999845831509,53788.6947288976,-25.50386619567871,0,0,150256.34765624994,235656.73828125,0.20310188957698833,18.504,8.7e-05,1855.4687500000002,13916.015625000002,12060.546875000002,60.0,-25.50386619567871,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[4.26758866e-33 1.24063872e-02 3.10211327e-02 ... 1.21327883e-06
 1.77877027e-06 4.76425178e-06]",,
1,8,1,8,3564.4531250000005,20.19945205479452,12.0,95395.80374443275,5836.94159497344,0.25412504526615814,14.703850033035774,108760.46682695489,-24.451343536376953,0,0,147436.52343750003,219140.6250000001,0.0,18.432000000000002,8.6e-05,2343.7500000000005,12988.281250000002,10644.531250000002,60.0,-24.451343536376953,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.02547161e-32 2.17871571e-03 7.80564172e-03 ... 1.52952737e-05
 9.97873457e-06 7.42374964e-06]",,
1,9,1,9,3564.4531250000005,20.19945205479452,12.0,132107.06069826568,5546.8802088152715,0.25474954808986267,20.209348861380768,138329.60047057157,-23.38707160949707,0,0,45520.019531249956,104736.328125,0.1353614916875039,18.216,8.7e-05,1806.6406250000002,13916.015625000002,12109.375000000002,60.0,-23.38707160949707,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.03172982e-33 8.05204888e-03 2.01426908e-02 ... 7.39164249e-06
 6.29185601e-06 8.35056758e-06]",,
