,row,record,x,y,frequency,thickness,expected_thickness,amplitude,noise_amplitude,noise_ratio,thickness_frequency_amplitude,p_wave_integral,y_loc,left_clipped,right_clipped,left_amp_max,right_amp_max,exp_decay,time_delay,contact_time,starting_frequency,ending_frequency,frequency_range,x_localized,y_localized,frequencies,mean_amplitudes,noise,clipped,debond,thickness_diff,defect,ie_defect,ie_defects
10,0,10,0,34,3613.28125,19.92648648648649,19.125,8487189.663978526,6062.338625368368,0.2665012973871316,51.18950981039778,1102162.1817451534,0,0,0,263452,170800,0.4042528513030289,20.16,8e-05,1367.1874999999998,22753.90625,21386.71875,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.10766623e-32 1.30029439e-01 9.55775970e-01 ... 1.02727931e-07
 1.00678866e-06 5.16066036e-08]",0,0,0,0,1,0,0
11,0,11,0,35,3564.4531249999995,20.199452054794524,19.125,23645772.44859992,6075.791664790314,0.1538988510568319,190.2722416561345,2054113.8497420696,0,0,0,413305,219140,0.234945529918952,19.44,8e-05,1269.5312499999998,27490.234375,26220.703125,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.50829701e-30 2.86572839e-01 2.18453134e+00 ... 7.54647368e-07
 2.65048511e-06 3.76424733e-07]",0,0,0,0,1,0,0
12,0,12,0,36,3613.28125,19.92648648648649,19.125,5962478.21416973,6130.339295801358,0.3719454387802702,29.08837859727432,847333.5993498893,0,0,0,267077,184497,0.0996759257421262,20.16,8e-05,1416.0156249999998,23095.703125,21679.6875,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.13379433e-31 6.04790895e-02 4.51088939e-01 ... 3.64735033e-09
 4.34113218e-07 1.78348138e-09]",0,0,0,0,1,0,0
13,0,13,0,37,3564.4531249999995,20.199452054794524,19.125,9970265.958998708,6483.859264834659,0.3109044321406619,53.84158713399635,1024873.6917757152,0,0,0,378259,163952,0.1684882817098495,20.16,8e-05,1171.8749999999998,28369.140625,27197.265625,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.10766623e-32 8.14418155e-02 5.94298251e-01 ... 2.32268788e-08
 6.16072578e-07 1.16684221e-08]",0,0,0,0,1,0,0
14,0,14,0,38,3564.4531249999995,20.199452054794524,19.125,10980604.339786552,6255.859852974455,0.3263463284659096,67.33377652481637,1056916.3050298442,0,0,0,389538,186108,0.1628387965608951,20.16,8e-05,1269.5312499999998,27099.609375,25830.078125,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.11479867e-32 4.96935078e-02 3.35719497e-01 ... 1.68401763e-08
 3.34487286e-07 8.52823805e-09]",0,0,0,0,1,0,0
15,0,15,0,39,6787.109374999999,10.608345323741007,19.125,13930336.522382248,7280.183205844591,0.2556416226666435,81.25533524565274,1387395.7989057773,0,0,0,393566,199804,0.1766747810519446,21.6,8e-05,1025.3906249999998,22119.140625,21093.75,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.50829701e-32 1.88855522e-01 1.33533147e+00 ... 1.53405554e-07
 1.49672026e-06 7.75666157e-08]",0,0,0,0,1,0,0
16,0,16,0,40,3320.3124999999995,21.684705882352944,19.125,15063160.14457989,6234.877895197069,0.2061445243877471,90.76679325852056,1634955.977219454,0,0,0,335559,188122,0.0,23.040000000000003,0.0001,1171.8749999999998,24267.578125,23095.703125,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.78699667e-31 2.86700996e-01 1.81008644e+00 ... 1.30892260e-09
 1.79074806e-06 6.33538295e-10]",0,0,0,1,1,1,1
17,0,17,0,41,3369.1406249999995,21.370434782608697,19.125,50519822.19811337,5655.395781911096,0.0870261634205556,559.8800828190784,2937313.897172694,0,0,0,500720,183691,0.234067348370306,21.6,9e-05,0.0,49999.99999999999,49999.99999999999,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.22906553e-30 1.95395366e+00 1.14135837e+01 ... 2.24440547e-07
 1.17519894e-05 1.12959257e-07]",0,0,1,1,0,0,0
18,0,18,0,42,3320.3124999999995,21.684705882352944,19.125,44894529.00982785,6379.690781666674,0.056691386971563,1331.525452281501,4468584.858455848,0,0,0,524890,200610,0.1695345132611129,24.48,8e-05,732.4218749999999,20361.328125,19628.90625,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.11479867e-32 6.55239310e+00 3.83339207e+01 ... 9.03143144e-07
 3.50364959e-05 4.50975713e-07]",0,0,1,1,0,0,0
19,0,19,0,43,3417.9687499999995,21.06514285714286,19.125,393540261.028556,7909.154152869052,0.0301164745502677,8683.565942220821,12141972.325495347,0,1,0,825000,199401,0.2669321211247467,24.48,0.00012,439.453125,20214.84375,19775.390625,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.18500539e-30 3.56684870e+01 1.88050049e+02 ... 5.79494733e-07
 1.74841409e-04 2.86214885e-07]",0,1,1,0,0,0,0
20,0,20,0,44,4003.90625,17.982439024390246,19.125,566189085.6709542,9819.302553968966,0.0326378508238146,5081.665741187456,13633344.81484825,0,1,0,825000,244921,0.3849251632326547,27.360000000000003,8e-05,97.65625,17626.953124999996,17529.296874999996,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.36562837e-29 1.23168224e+00 4.72847419e+00 ... 3.26746425e-06
 3.19446594e-06 1.62141355e-06]",0,1,1,0,0,0,0
21,0,21,0,45,1757.8124999999998,30.0,19.125,758131771.4999288,12799.352697682223,0.019066960772792,77927.77730580868,33847575.072044924,0,1,0,825000,266271,0.8083924356946977,19.44,8e-05,0.0,15966.796874999998,15966.796874999998,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.78367787e-29 1.69331086e+01 1.25215261e+02 ... 1.18001085e-07
 1.07855809e-04 5.29486653e-08]",0,1,1,1,0,0,0
22,0,22,0,46,1660.1562499999998,30.0,19.125,935907098.8824518,16896.68432036411,0.0226357594347255,89984.61980519745,37706981.45004081,0,1,0,825000,219140,1.107705147721993,25.92,9e-05,146.48437499999997,8300.781249999998,8154.296874999998,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[7.07941747e-28 1.17466990e+03 5.36899188e+03 ... 3.53455851e-05
 5.47229904e-03 1.77712035e-05]",0,1,1,1,0,0,0
23,0,23,0,47,1708.9843749999998,30.0,19.125,1406182476.0400856,23116.144879077656,0.0313650791576544,168579.3068800376,50859882.85090101,0,1,0,825000,222766,0.3429731622064309,16.560000000000002,8e-05,244.140625,4980.468749999999,4736.328124999999,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.22877569e-27 3.14374454e+01 9.51324032e+01 ... 1.95591580e-06
 8.76886649e-05 9.97191291e-07]",0,1,1,1,0,0,0
24,0,24,0,48,1611.3281249999998,30.0,19.125,1408734423.1983209,30409.440452973784,0.0479730979020548,129947.4738560972,42329782.17988553,0,1,0,825000,295678,0.6773694090091852,15.84,7e-05,634.7656249999999,2636.7187499999995,2001.9531249999995,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.00173249e-28 5.25507004e+00 1.63698547e+01 ... 6.42957590e-07
 7.89148491e-06 3.32624535e-07]",0,1,1,1,0,0,0
25,0,25,0,49,1513.6718749999998,30.0,19.125,1108115571.8873303,30234.20068871663,0.0423158100168273,74392.54978438129,41662763.11916065,0,1,0,825000,192553,0.9787389238198396,15.84,7e-05,927.734375,2490.2343749999995,1562.4999999999995,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[5.15482905e-29 5.18400279e-01 3.25877268e+00 ... 3.98469247e-07
 2.87723661e-07 1.82054829e-07]",0,1,1,1,0,0,0
26,0,26,0,50,2734.3749999999995,26.331428571428575,13.125,1269070445.4265957,45991.333241959335,0.0642395873588427,52909.36651551723,44242526.80671341,0,1,0,825000,174023,0.0,16.560000000000002,8e-05,0.0,49999.99999999999,49999.99999999999,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[3.01441560e-29 3.10523105e+00 1.48002439e+01 ... 7.49076488e-07
 3.55632919e-06 3.97065560e-07]",0,1,1,1,0,0,0
27,0,27,0,51,2734.3749999999995,26.331428571428575,13.125,1259901210.4712565,55041.790132451504,0.0804939736329588,107461.72378322108,49242883.497798175,0,1,0,825000,126489,0.0,21.6,8e-05,0.0,49999.99999999999,49999.99999999999,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[3.49600863e-29 4.56379361e+01 1.80940770e+02 ... 1.02510258e-06
 1.39621253e-04 4.92984001e-07]",0,1,1,1,0,0,0
28,0,28,0,52,2587.8906249999995,27.82188679245284,13.125,951974875.0109904,56385.709883984455,0.0999596187498951,59090.56614080399,36072431.586918734,0,1,0,825000,252575,0.5179525917500705,23.040000000000003,9e-05,0.0,49999.99999999999,49999.99999999999,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[6.31466558e-28 3.65269197e+01 1.37391956e+02 ... 1.69547327e-06
 1.09486936e-04 8.48224247e-07]",0,1,1,1,0,0,0
