x,y,impactor,frequency,thickness,expected_thickness,amplitude,noise_amplitude,noise_ratio,thickness_frequency_amplitude,p_wave_integral,y_loc,transducers_clipped,transducers_amp_max,exp_decay,time_delay,contact_time,starting_frequency,ending_frequency,frequency_range,calculated_cpp,ie_defects,pre_impact_resonance_frequency,pre_impact_resonance_frequency_amplitude,x_localized,y_localized,frequencies,mean_amplitudes,impactor_mass,sensor_ids,x_bin,y_bin,noise,clipped,debond,thickness_diff,defect,ie_defect
7,59,1,4736.328125,15.20164948,12,11141232.83,10008.87359,0.247810438,25.73622954,17957797.35,62.15686798,"[0, 0, 0]","[153479.00390625003, 366174.3164062501, 379870.60546874994]",0.180825355,14.976,7.20E-05,1513.671875,28417.96875,26904.29688,9472.65625,1,1123.046875,0.590276918,18,62.15686798,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[5.46514806e-32 5.23334486e-02 8.88348514e-02 ... 1.28620628e-06
 1.26482361e-06 1.93744054e-06]",8.5,"[1, 0, 2]",18,62,0,0,0,1,1,1
7,58,0,4785.15625,15.04653061,12,289692.1122,6346.760248,0.62072094,2.700623493,5080745.082,61.16001129,"[0, 0, 0]","[45117.187500000044, 45922.85156249998, 81774.90234374996]",0.369054288,14.616,0.000161,830.078125,8496.09375,7666.015625,9570.3125,0,3466.796875,0.465809199,18,61.16001129,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[6.40805109e-34 7.79419872e-04 4.14658675e-03 ... 1.05732003e-05
 1.04847312e-05 1.05162313e-05]",37.5,"[1, 0, 2]",18,61,1,0,0,1,0,0
7,57,1,4785.15625,15.04653061,12,7205523.145,9673.620554,0.314492499,13.32238623,14480447.49,59.98107529,"[0, 0, 0]","[150256.34765624994, 267480.4687500001, 172814.94140624997]",0.195826732,15.048,7.30E-05,1708.984375,24316.40625,22607.42188,9570.3125,1,97.65625,0.51176225,18,59.98107529,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.62331341e-33 2.62322383e-02 4.63433496e-02 ... 8.62002864e-07
 3.90687574e-07 1.86524121e-07]",8.5,"[1, 0, 2]",18,59,0,0,0,1,1,1
7,56,0,4882.8125,14.7456,12,1992240.653,2540.001928,0.102568269,13.55056065,13272759.56,59.02560806,"[0, 0, 0]","[138977.05078125, 88220.21484374997, 132128.90624999994]",0.695096407,12.888,0.000131,244.140625,27490.23438,27246.09375,9765.625,1,1513.671875,0.216600832,18,59.02560806,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.79970854e-32 2.05094139e-02 5.51062881e-02 ... 3.70385444e-07
 1.45084888e-07 1.77790667e-07]",37.5,"[1, 0, 2]",18,59,0,0,0,1,1,1
7,55,1,4931.640625,14.59960396,12,13402269.92,13272.93236,0.362154345,21.59944633,18189987.01,57.89857101,"[0, 0, 0]","[124072.26562499996, 334350.5859375, 147033.69140625]",0.173635945,14.976,7.90E-05,1660.15625,21386.71875,19726.5625,9863.28125,0,1416.015625,0.939691412,18,57.89857101,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[9.78584207e-33 6.92529940e-02 1.21272826e-01 ... 1.68042025e-06
 5.91534768e-07 4.48655953e-09]",8.5,"[1, 0, 2]",18,57,1,0,0,1,0,0
7,54,0,5029.296875,14.3161165,12,520284.5057,1558.303905,0.095729984,3.251612442,6260647.852,57.07991409,"[0, 0, 0]","[27795.410156249978, 50756.83593750002, 49548.339843749956]",0.745868031,12.96,0.000136,781.25,15722.65625,14941.40625,10058.59375,0,1904.296875,0.098171095,18,57.07991409,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.29981659e-34 5.86986922e-03 1.42627729e-02 ... 6.36598734e-06
 4.36039088e-06 2.76146950e-06]",37.5,"[1, 0, 2]",18,57,0,0,0,1,0,0
7,53,1,5029.296875,14.3161165,12,8412303.389,7774.814218,0.289879895,7.701375967,12785076.27,56.16536713,"[0, 0, 0]","[196984.8632812501, 298498.53515625, 104333.49609374997]",0.229487415,14.76,6.70E-05,2343.75,26171.875,23828.125,10058.59375,1,97.65625,0.312674609,18,56.16536713,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.31763977e-32 2.43431514e-02 4.24745020e-02 ... 8.43630563e-08
 3.90503982e-08 4.54996272e-07]",8.5,"[1, 0, 2]",18,56,0,0,0,1,1,1
7,52,0,5224.609375,13.78093458,12,1029741.18,2290.369381,0.10324136,4.997137835,8163741.576,55.14378738,"[0, 0, 0]","[47937.01171874998, 62438.96484375, 56799.31640625002]",0.325834011,12.888,0.000128,830.078125,18505.85938,17675.78125,10449.21875,0,1904.296875,0.172469267,18,55.14378738,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[8.84885052e-34 8.26682249e-03 1.99319795e-02 ... 1.97911043e-06
 2.63937570e-06 3.43430282e-06]",37.5,"[1, 0, 2]",18,55,0,0,0,0,1,0
7,51,1,5078.125,14.17846154,12,6931705.898,8707.828861,0.328748169,7.33406052,11083047.74,54.0253334,"[0, 0, 0]","[192150.87890625006, 265466.3085937501, 172412.10937499994]",0.220983292,14.688,7.30E-05,2246.09375,23144.53125,20898.4375,10156.25,1,97.65625,0.424115931,18,54.0253334,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[9.69374054e-33 2.26678595e-02 3.96329554e-02 ... 8.80939855e-07
 1.17783142e-06 1.36434530e-06]",8.5,"[1, 0, 2]",18,54,0,0,0,1,1,1
7,50,0,5371.09375,13.40509091,12,1080755.18,2920.606566,0.13913699,5.940332024,8802349.545,52.84104156,"[0, 0, 0]","[31823.730468749978, 64855.95703125002, 89428.71093750004]",0.501234202,13.176,0.00014,537.109375,27050.78125,26513.67188,10742.1875,0,1171.875,0.245489434,18,52.84104156,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[7.27178872e-33 5.37461209e-03 1.34530455e-02 ... 8.36590457e-08
 3.00608321e-07 6.24221258e-07]",37.5,"[1, 0, 2]",18,52,0,0,0,0,1,0
