,row,record,x,y,impactor,frequency,thickness,expected_thickness,amplitude,noise_amplitude,noise_ratio,thickness_frequency_amplitude,p_wave_integral,y_loc,transducers_clipped,transducers_amp_max,exp_decay,time_delay,contact_time,starting_frequency,ending_frequency,frequency_range,calculated_cpp,ie_defects,pre_impact_resonance_frequency,pre_impact_resonance_frequency_amplitude,x_localized,y_localized,frequencies,mean_amplitudes,impactor_mass,sensor_ids,x_bin,y_bin,noise,clipped,debond,thickness_diff,defect,ie_defect
626,13,28,13,43,1.0,4589.843749999999,15.6868085106383,12,9769567.849140527,9540.495421637019,0.22630903384242226,485.34213911193126,2673544.9980670013,37.90522003173828,"[0, 0]","[265466.3085937501, 64453.125]",0.37538185528389967,15.84,0.0001,48.82812499999999,26318.359374999996,26269.531249999996,9179.687499999998,1,30224.609374999996,0.6030933279451441,72.0,37.90522003173828,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[3.03503938e-30 3.55924342e-01 1.90030267e+00 ... 1.90568636e-05
 2.40672918e-05 9.52411818e-06]",15.0,"[0, 1]",72.0,37.0,0,0,0,1,1,1
627,13,29,13,42,1.0,4589.843749999999,15.6868085106383,12,9773140.736260047,10975.127213431,0.2644736367120048,429.1102727161391,2452679.2312519914,36.91945266723633,"[0, 0]","[263049.31640624994, 77746.58203124996]",0.2848881606868283,15.84,9e-05,48.82812499999999,24999.999999999996,24951.171874999996,9179.687499999998,1,25732.421874999996,0.27020081956643544,72.0,36.91945266723633,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.14284282e-30 3.01124426e-01 1.46111203e+00 ... 4.53638744e-08
 1.18450844e-06 2.31708006e-08]",15.0,"[0, 1]",72.0,36.0,0,0,0,1,1,1
628,13,30,13,41,1.0,4541.015624999999,15.855483870967745,12,7774779.1633792035,10969.620381577332,0.32614976378438165,239.52674166363263,1883883.7932645292,35.950374603271484,"[0, 0]","[249353.0273437501, 45922.85156249998]",0.2386006904080555,15.84,9e-05,0.0,32958.98437499999,32958.98437499999,9082.031249999998,1,25732.421874999996,0.373284998055998,72.0,35.950374603271484,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.74187292e-32 3.35337208e-01 1.52978419e+00 ... 4.34478402e-06
 7.38608446e-06 2.14582260e-06]",15.0,"[0, 1]",72.0,35.0,0,0,0,1,1,1
629,13,31,13,40,1.0,4589.843749999999,15.6868085106383,12,2760349.7825803966,10428.415404439522,0.3928325302505744,108.26488190285305,1305314.2645879004,34.932769775390625,"[0, 0]","[124475.09765624997, 48742.67578125002]",0.4231084204996073,15.84,0.0001,146.48437499999997,16259.765624999998,16113.281249999998,9179.687499999998,1,30175.781249999996,0.27030885141579614,72.0,34.932769775390625,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.74187292e-32 1.76578785e-01 8.24023017e-01 ... 2.05383299e-05
 2.39213764e-05 1.02304046e-05]",15.0,"[0, 1]",72.0,34.0,0,0,0,1,1,1
630,13,32,13,39,1.0,4736.328124999999,15.201649484536087,12,10592086.615838198,9366.800725874327,0.22484958542557962,235.04647176583114,2192974.552464118,33.95221710205078,"[0, 0]","[304138.18359375, 6848.144531250045]",0.3380356886728618,15.120000000000001,9e-05,195.31249999999997,29980.468749999996,29785.156249999996,9472.656249999998,1,7763.671874999999,0.3982080378804895,72.0,33.95221710205078,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.36562837e-31 2.63960612e-01 1.29091857e+00 ... 2.22923751e-06
 4.74953005e-06 1.13051397e-06]",15.0,"[0, 1]",72.0,33.0,0,0,0,1,1,1
631,13,33,13,38,1.0,4785.156249999999,15.0465306122449,12,7879192.199252986,9137.969039984302,0.22797773075540273,280.0977284827408,2173947.378862151,32.88328552246094,"[0, 0]","[238879.39453124994, 36254.8828125]",0.32452791675180237,15.84,0.0001,292.96874999999994,24853.515624999996,24560.546874999996,9570.312499999998,1,30175.781249999996,0.4350541358497911,72.0,32.88328552246094,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[5.46251348e-31 2.84877467e-01 1.37937411e+00 ... 4.43659660e-06
 4.26918778e-06 2.19668808e-06]",15.0,"[0, 1]",72.0,32.0,0,0,0,1,1,1
632,13,34,13,37,1.0,4785.156249999999,15.0465306122449,12,8095738.374800567,8627.548807314111,0.21070156780346103,311.46188812703184,2183793.952652607,31.9151611328125,"[0, 0]","[249353.0273437501, 25378.417968749956]",0.25632042805096333,15.84,9e-05,390.62499999999994,24560.546874999996,24169.921874999996,9570.312499999998,1,28173.828124999996,0.35457050479449587,72.0,31.9151611328125,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.01360510e-31 3.63992858e-01 1.59091520e+00 ... 3.14478460e-06
 6.39069163e-06 1.58169664e-06]",15.0,"[0, 1]",72.0,31.0,0,0,0,1,1,1
633,13,35,13,36,1.0,4785.156249999999,15.0465306122449,12,10384321.316812918,8031.777133975252,0.16458669785636215,382.2030496776958,2385146.7246650225,30.9615478515625,"[0, 0]","[289233.39843749994, 134948.73046875]",0.19218682818286714,15.120000000000001,9e-05,244.14062499999997,28564.453124999996,28320.312499999996,9570.312499999998,1,7763.671874999999,0.3395961858879894,72.0,30.9615478515625,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[5.46251348e-31 2.79240537e-01 1.30166881e+00 ... 2.66262293e-07
 1.17607467e-06 1.29571591e-07]",15.0,"[0, 1]",72.0,30.0,0,0,0,1,1,1
634,13,36,13,35,1.0,4785.156249999999,15.0465306122449,12,7283321.100988241,8113.806985623691,0.21597030398068648,289.4730000820295,1965068.8270689058,29.91429328918457,"[0, 0]","[238073.7304687499, 63647.460937499956]",0.2641874007783165,15.84,9e-05,195.31249999999997,26806.640624999996,26611.328124999996,9570.312499999998,1,30175.781249999996,0.3806528651733108,72.0,29.91429328918457,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.34890639e-30 2.89644721e-01 1.37155341e+00 ... 8.26674559e-08
 1.27238657e-06 1.51995980e-08]",15.0,"[0, 1]",72.0,29.0,0,0,0,1,1,1
635,13,37,13,34,1.0,4736.328124999999,15.201649484536087,12,8558359.049874702,7949.931668212594,0.21055285639588278,267.0846923786091,1851593.2553976362,29.01988410949707,"[0, 0]","[274731.44531250006, 166369.62890624994]",0.19164057772738932,15.120000000000001,9e-05,48.82812499999999,30029.296874999996,29980.468749999996,9472.656249999998,1,28173.828124999996,0.32510795119662333,72.0,29.01988410949707,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.01360510e-31 2.32611412e-01 1.02911786e+00 ... 5.66667303e-06
 4.95412220e-06 2.81356482e-06]",15.0,"[0, 1]",72.0,29.0,0,0,0,1,1,1
