row,record,x_localized,y_localized,x_bin,y_bin,impactor,frequency,thickness,expected_thickness,amplitude,noise_amplitude,noise_ratio,voltage_max,thickness_frequency_amplitude,p_wave_integral,transducers_clipped,transducers_amp_max,exp_decay,time_delay,contact_time,starting_frequency,ending_frequency,frequency_range,calculated_cpp,ie_defects,pre_impact_resonance_frequency,pre_impact_resonance_frequency_amplitude,frequencies,mean_amplitudes,impactor_mass,sensor_ids,noise,clipped,debond,thickness_diff,defect,ie_defect
15,0,288.0,63.30108642578125,288.0,63.0,1.0,4638.671875000001,15.521684210526313,12,12851901.249492789,17193.070102293692,0.4938469838541197,489843.74999999994,13.913151909076973,16352157.165210249,"[0, 0, 0]","[489843.74999999994, 253784.1796875, 191345.21484375]",0.10683490659886283,15.84,6.8e-05,1806.6406250000002,28076.171875000004,26269.531250000004,9277.343750000002,0,97.65625000000001,2.25723969819494,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.36083822e-32 3.15635239e-02 4.97468836e-02 ... 4.73326267e-05
 5.13061052e-05 5.19831379e-05]",8.5,"[0, 1, 2]",0,0,1,1,0,0
15,1,288.0,62.53666305541992,288.0,62.0,1.0,4589.843750000001,15.686808510638294,12,19172488.533238262,17950.623110817698,0.46204060311833894,600219.7265625,12.795739865090846,18114022.09124422,"[0, 0, 0]","[600219.7265625, 209472.65625, 292858.88671874994]",0.10703885572504657,15.623999999999999,6.7e-05,2441.4062500000005,25878.906250000004,23437.500000000004,9179.687500000002,0,1757.8125000000002,2.1494858790116007,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.84082979e-34 4.50161172e-02 7.24593505e-02 ... 4.32731265e-05
 4.26923092e-05 4.17288292e-05]",8.5,"[0, 1, 2]",0,0,1,1,0,0
15,2,288.0,61.563072204589844,288.0,61.0,1.0,4736.328125000001,15.201649484536079,12,81268.86551784788,1920.4406815958816,0.5508077473280059,65661.62109374996,0.0605395220809463,1597222.9382617564,"[0, 0, 0]","[65661.62109374996, 312597.65625, 264660.64453124994]",0.19107449413929145,15.408000000000001,6.6e-05,1123.0468750000002,30664.062500000004,29541.015625000004,9472.656250000002,0,97.65625000000001,0.01033871715134709,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.60201277e-34 9.62614014e-04 1.52468625e-03 ... 2.26400655e-05
 2.16332535e-05 2.19458389e-05]",8.5,"[0, 1, 2]",0,0,1,1,0,0
15,3,288.0,60.57009506225586,288.0,60.0,1.0,5029.296875000001,14.316116504854367,12,8533652.171453685,14420.571733295214,0.7357208217017952,406860.3515625,4.577925935397551,10718789.130839558,"[0, 0, 0]","[406860.3515625, 246130.37109375003, 239282.22656249997]",0.04246533654259371,15.623999999999999,6.6e-05,1904.2968750000002,28808.593750000004,26904.296875000004,10058.593750000002,0,2099.6093750000005,1.2450504244802503,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[4.39039070e-33 1.73372194e-02 2.71508007e-02 ... 1.01437213e-04
 9.77072904e-05 8.99895359e-05]",8.5,"[0, 1, 2]",0,0,1,1,0,0
15,4,288.0,59.517608642578125,288.0,59.0,1.0,5029.296875000001,14.316116504854367,12,17509133.265020803,22349.275536598463,0.6206706650069996,529321.2890625,13.020233998878597,16203114.226043843,"[0, 0, 0]","[529321.2890625, 219543.45703125, 134948.73046875]",0.09357967473544516,15.48,6.8e-05,2050.7812500000005,29443.359375000004,27392.578125000004,10058.593750000002,0,2001.9531250000002,2.7192663856764847,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[5.95565948e-32 4.71369713e-02 7.42190805e-02 ... 1.20935878e-05
 4.72189278e-06 5.62618419e-07]",8.5,"[0, 1, 2]",0,0,1,1,0,0
15,5,288.0,58.5643196105957,288.0,58.0,1.0,5029.296875000001,14.316116504854367,12,11094432.91193473,16468.995560877116,0.5680099519599017,509985.3515624999,9.05148349011449,13029656.921674922,"[0, 0, 0]","[509985.3515624999, 237268.06640624997, 79760.74218749996]",0.0862230740563931,15.623999999999999,6.9e-05,1367.1875000000002,27832.031250000004,26464.843750000004,10058.593750000002,0,2001.9531250000002,1.81699362695255,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.06080932e-31 2.96378449e-02 4.74636380e-02 ... 4.12267785e-05
 4.25838533e-05 4.39048058e-05]",8.5,"[0, 1, 2]",0,0,1,1,0,0
15,6,288.0,57.64883804321289,288.0,57.0,1.0,5029.296875000001,14.316116504854367,12,12536350.806607224,15816.90237296257,0.6220296618130525,456408.69140624994,5.908796762115894,11998578.489060747,"[0, 0, 0]","[456408.69140624994, 332739.25781249994, 193762.20703125003]",0.06866827668602,15.912,6.5e-05,1074.2187500000002,29638.671875000004,28564.453125000004,10058.593750000002,0,2001.9531250000002,1.5698131408907836,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.65861140e-32 2.46751410e-02 3.93645694e-02 ... 2.17217738e-06
 3.15655304e-06 3.65781685e-06]",8.5,"[0, 1, 2]",0,0,1,1,0,0
15,7,288.0,56.620765686035156,288.0,56.0,1.0,5078.125000000001,14.178461538461537,12,11611287.612084925,15046.196163370108,0.5589759247761448,493066.40625,4.655206122973674,11875681.168029843,"[0, 0, 0]","[493066.40625, 199804.68750000003, 138574.21874999997]",0.086073785232333,15.84,6.8e-05,1708.9843750000002,27636.718750000004,25927.734375000004,10156.250000000002,0,1757.8125000000002,1.5091347770346955,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.92061086e-32 2.80862105e-02 4.53347887e-02 ... 1.17784143e-05
 8.12734126e-06 5.71462229e-06]",8.5,"[0, 1, 2]",0,0,1,1,0,0
15,8,288.0,55.66646957397461,288.0,55.0,1.0,5273.437500000001,13.65333333333333,12,78316.9063469103,4226.462814875294,1.0,68884.27734375003,0.07394045044764817,1596832.3267474866,"[0, 0, 0]","[68884.27734375003, 202624.51171874994, 152673.33984374997]",0.14339760793995956,15.768,6.6e-05,2197.2656250000005,31640.625000000004,29443.359375000004,10546.875000000002,0,1806.6406250000002,0.10561797950218454,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[6.88924348e-36 6.64081323e-04 1.07008022e-03 ... 3.29915721e-05
 3.02888360e-05 2.71030643e-05]",8.5,"[0, 1, 2]",1,0,1,0,0,0
15,9,288.0,54.67140579223633,288.0,54.0,1.0,13525.390625000002,5.323321299638988,12,23735469.887041576,14871.500833921144,0.44088713895501297,661047.3632812499,3.6051769648533916,14631689.01050068,"[0, 0, 0]","[661047.3632812499, 465673.82812499994, 343212.890625]",0.08618823894995188,15.984000000000002,6.1e-05,1513.6718750000002,32324.218750000004,30810.546875000004,27050.781250000004,0,97.65625000000001,1.9146046447360499,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[7.27414841e-32 1.23259332e-02 1.98861890e-02 ... 1.40384715e-05
 2.08502901e-05 2.97459093e-05]",8.5,"[0, 1, 2]",0,0,1,0,0,0
